group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Groß-Gerau,18716,219138.192,11.708602,0.001,7005.24,EinheitenSolar_46.json,36971,EinheitenSolar_29.json,36103
Rheingau-Taunus-Kreis,17304,217165.24,12.550002,0.001,6587.42,EinheitenSolar_41.json,92756,EinheitenSolar_42.json,3538
Bad Dürkheim,18550,212588.636,11.460304,0.001,3304.8,EinheitenSolar_45.json,54196,EinheitenSolar_8.json,50978
Rheinisch-Bergischer Kreis,26701,211899.884,7.936028,0.001,2100.0,EinheitenSolar_42.json,31781,EinheitenSolar_22.json,54007
Schmalkalden-Meiningen,10090,211009.088,20.912695,0.001,5771.7,EinheitenSolar_41.json,40558,EinheitenSolar_28.json,26765
Saalfeld-Rudolstadt,7807,209823.418,26.876318,0.001,30000.0,EinheitenSolar_51.json,48582,EinheitenWasser.json,8501
Ennepe-Ruhr-Kreis,18543,202753.42,10.93423,0.001,9221.0,EinheitenSolar_45.json,63500,EinheitenSolar_35.json,53188
Mannheim,10935,202574.463,18.525328,0.001,28500.0,EinheitenSolar_45.json,94021,EinheitenBiomasse.json,17485
Miesbach,10917,197952.291,18.132481,0.001,30000.0,EinheitenSolar_53.json,66994,EinheitenWasser.json,7350
Cottbus,5006,189204.648,37.795575,0.1,15331.275,EinheitenStromSpeicher_20.json,73011,EinheitenSolar_26.json,95431
Ulm,8981,188706.679,21.011767,0.001,9600.0,EinheitenSolar_43.json,57208,EinheitenBiomasse.json,17525
Erfurt,8293,187491.53,22.608408,0.001,7053.76,EinheitenSolar_42.json,31884,EinheitenSolar_26.json,94102
Offenbach,19838,185732.451,9.362458,0.001,8200.0,EinheitenSolar_43.json,84431,EinheitenSolar_16.json,27307
Rhein-Lahn-Kreis,13690,185004.828,13.513866,0.001,10697.54,EinheitenSolar_41.json,76356,EinheitenSolar_30.json,82242
Hamm,11536,184595.123,16.001658,0.001,4200.0,EinheitenSolar_45.json,76255,EinheitenWind.json,27796
